#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,1173.1630859375,2.0601843102629007
20,1175.71630859375,3.8086147137153774
30,1178.3104248046875,5.341422450618522
40,1180.57421875,6.702782342370142
50,1183.04296875,7.384437763352253
60,1184.505859375,10.01074302613125
70,1186.13134765625,11.542520506715498
80,1188.11181640625,13.586749568624747
90,1192.273681640625,14.937158759483161
100,1194.4853515625,17.180192576422307
110,1197.11767578125,18.59030639350434
120,1199.933349609375,19.481626875506073
130,1201.02392578125,21.409449320864084
140,1202.344970703125,23.6726455120542
150,1202.652587890625,27.635735659828885
160,1210.526123046875,26.670759844474542
170,1212.863525390625,28.45437249322965
180,1216.019775390625,30.331343095591084
190,1214.979736328125,32.67486683544519
200,1216.5811767578125,33.24548172698274
210,1215.707763671875,35.574763815514906
220,1217.518798828125,36.89648905320566
230,1223.795166015625,34.004653217556566
240,1221.674560546875,35.24059186260687
250,1216.2232666015625,42.39133280194951
260,1220.9005126953125,40.98687848969426
270,1222.175048828125,42.30434715014709
280,1229.41552734375,40.24786063017787
290,1231.165283203125,42.02576740035658
300,1231.08544921875,43.66590928980497
310,1234.8104248046875,43.65107018006278
320,1230.951171875,48.76000747242523
330,1238.260009765625,44.797963242528034
340,1235.698974609375,48.29742792512671
350,1237.93310546875,49.58400674802202
360,1236.5869140625,52.711369897757216
370,1248.543212890625,47.74965200275257
380,1246.678955078125,52.99779396610046
390,1242.49658203125,60.149131979809674
400,1252.1859130859375,56.67711621634329
410,1254.87841796875,56.6888866035303
420,1249.1416015625,61.600471209128095
430,1253.481689453125,61.517600362039175
440,1248.9365234375,68.25631728728924
450,1263.16845703125,59.41304002266042
460,1262.931396484375,63.18748079658867
470,1260.3482666015625,66.8995502182749
480,1257.8408203125,74.57468530534236
490,1261.5958251953125,73.32783807001422
500,1250.65771484375,82.31748329457368
510,1270.624755859375,70.76656825668583
520,1267.599609375,73.21042789075328
530,1270.16162109375,75.43995110566665
540,1281.439453125,69.81130627622164
550,1279.4306640625,73.22300146667648
560,1273.410400390625,81.92190248528567
570,1283.02587890625,79.4381830911357
580,1288.06982421875,78.36035657574527
590,1282.375244140625,82.8698428987528
600,1282.284423828125,84.92320386729752
610,1285.13916015625,86.7852810127224
620,1280.3277587890625,93.91618383269095
630,1295.3468017578125,87.25631740439654
640,1291.67822265625,91.89953044961807
650,1293.996337890625,92.02547706547182
660,1307.794189453125,85.76728549975972
670,1291.8115234375,98.6437294935686
680,1296.181640625,96.15600781808133
690,1304.172119140625,93.03838106170278
700,1305.659423828125,95.67418862782833
710,1309.492431640625,94.59798250189704
720,1305.2471923828125,98.05319294508922
730,1299.058837890625,102.75911200732122
740,1294.304443359375,105.83517189602478
750,1308.3668212890625,101.03515343494094
760,1315.6201171875,95.87017221014857
770,1321.47314453125,97.92732213533999
780,1314.8843994140625,104.12777062355795
790,1312.4559326171875,108.7134375887507
800,1315.9755859375,104.05463178837047
810,1310.8387451171875,111.38126280153068
820,1325.70263671875,101.78952420425902
830,1312.738525390625,110.27945290726859
840,1320.5845947265625,109.3993634134568
850,1327.4605712890625,102.73046804224943
860,1305.7489013671875,121.71188516844992
870,1332.299072265625,108.36382536454846
880,1312.17626953125,123.26496914356882
890,1336.5242919921875,114.17392387510742
900,1336.5751953125,115.41598470271396
910,1335.14697265625,123.58180417701536
920,1343.089599609375,120.28223288997309
930,1349.1834716796875,119.02992142026811
940,1340.6590576171875,125.1042786460733
950,1339.77734375,129.98212430950838
960,1362.277099609375,114.93039103863262
970,1333.5892333984375,135.45782336396636
980,1337.4736328125,137.0645780711949
990,1346.9522705078125,127.23825051395063
1000,1344.587158203125,129.40077066176568
