#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,10911.615234375,2.339428952405791
20,10914.833984375,3.1777156044248667
30,10915.548828125,5.169743070086237
40,10918.80859375,6.311293177954863
50,10919.4931640625,9.169028574907108
60,10924.025390625,9.583674184241788
70,10925.06640625,11.679675776871145
80,10929.072265625,12.815714676306966
90,10929.1787109375,16.665157649030384
100,10935.38671875,16.430935055657518
110,10935.5625,18.56389680034987
120,10935.6005859375,21.38976630340608
130,10939.3857421875,21.722531448794324
140,10942.7578125,21.871318831309228
150,10940.021484375,24.922805392453416
160,10939.6484375,26.10425915637511
170,10943.486328125,25.290697391054966
180,10947.3193359375,26.080837555636485
190,10947.9921875,29.258018264054066
200,10947.025390625,33.53414856310755
210,10955.751953125,31.023420952011346
220,10951.986328125,38.00544260466488
230,10960.255859375,35.7553166312168
240,10959.5,38.966579902966224
250,10964.7646484375,37.324140871646264
260,10961.5068359375,41.95451322374228
270,10969.52734375,39.0464968566221
280,10964.26953125,44.38194936899985
290,10972.4931640625,42.35065596676244
300,10966.623046875,46.51801327336052
310,10969.7412109375,48.704707752009384
320,10969.658203125,51.35150212697553
330,10978.04296875,48.484625491812984
340,10979.921875,48.59549940057897
350,10982.37109375,48.87080323057944
360,10984.779296875,49.28363325341428
370,10980.09375,52.305690272004426
380,10984.3369140625,52.84338476799082
390,10995.8203125,48.43136333759908
400,10992.2685546875,50.88295020756035
410,10986.1640625,59.27777202208921
420,10990.3408203125,59.316275776053914
430,10995.4052734375,55.289198133021195
440,10987.8818359375,64.73943038140993
450,10996.0576171875,59.3368359670443
460,10995.44921875,60.42369800654842
470,10997.6240234375,59.07272243334273
480,10995.048828125,60.994631002744704
490,10997.306640625,61.154371293037556
500,10996.818359375,60.61441192027644
510,10996.59765625,62.803265456769815
520,10993.2451171875,68.06623370317908
530,11001.634765625,61.595276906184985
540,11002.6396484375,64.3169672627631
550,10994.193359375,71.331815811815
560,11004.673828125,69.46934097505155
570,11004.251953125,71.34775961623929
580,11004.23046875,75.74145084721023
590,11018.86328125,70.10014542912248
600,11014.849609375,75.64450376289285
610,11004.15234375,85.08621745300043
620,11003.158203125,86.15157268633095
630,11013.8408203125,80.71969869402605
640,11028.984375,73.11688533160259
650,11021.873046875,76.48119932854058
660,11015.302734375,80.92878080705135
670,11024.6552734375,75.55302203117738
680,11018.8603515625,80.4913281191681
690,11009.353515625,86.871805245115
700,11021.1181640625,81.41563351378326
710,11022.958984375,79.79267417375766
720,11014.7763671875,88.92677191399522
730,11042.94921875,72.80176132048558
740,11027.83203125,82.3251464600308
750,11038.1015625,79.05126771364544
760,11033.48828125,83.08747449622867
770,11034.76953125,84.53710733685875
780,11032.6328125,88.20729670811022
790,11036.646484375,88.49605780263545
800,11053.013671875,80.59966402405098
810,11039.0810546875,93.79510910391143
820,11044.78125,93.49707004812673
830,11044.31640625,96.69873850318051
840,11051.599609375,97.78833856678469
850,11038.8251953125,108.03350906270826
860,11050.544921875,106.88534923380236
870,11063.3671875,101.92752597878902
880,11064.453125,101.60876857784018
890,11048.029296875,113.4746748573931
900,11065.57421875,105.7747542089305
910,11054.328125,112.39085179388509
920,11056.48828125,113.99385418579804
930,11077.244140625,100.5664575288587
940,11066.9716796875,109.43657428374881
950,11068.69921875,108.46306205743161
960,11048.318359375,127.88607120725196
970,11085.765625,108.51442753341841
980,11071.8359375,119.39264665293106
990,11075.7392578125,119.64738066362453
1000,11075.5615234375,118.07054932537066
1010,11087.5810546875,111.73166451162383
1020,11072.501953125,120.61320528047675
1030,11072.412109375,125.3388469021117
