#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,478.15264892578125,2.3405051880368437
20,479.27130126953125,4.013126939256753
30,480.5430908203125,5.492198756440451
40,481.9529113769531,7.9733640184739185
50,482.38690185546875,10.665925831810984
60,485.3818664550781,10.791292461222978
70,485.3263244628906,12.44207347321999
80,486.27105712890625,12.771948161219687
90,486.544189453125,16.40546371781725
100,489.31787109375,16.118556036826995
110,489.8218994140625,18.024831219543824
120,489.9587707519531,23.632397409318838
130,492.1844177246094,22.831359264662836
140,492.2121276855469,25.276639306289788
150,493.7064208984375,25.298167528320118
160,492.13165283203125,28.938751283397647
170,494.4766845703125,27.418009655368344
180,493.78961181640625,32.197972887282766
190,495.99420166015625,32.594367109295305
200,497.6785888671875,33.34054134996827
210,499.659423828125,32.438367299348236
220,499.9807434082031,36.15746846455417
230,502.89593505859375,37.89398357199508
240,503.309326171875,41.92143904463776
250,502.43170166015625,45.703635940808056
260,505.34686279296875,43.79907902949036
270,506.56640625,42.44841384059054
280,508.47442626953125,42.016600645251216
290,508.98504638671875,42.42109238751181
300,507.3740234375,46.148273840677305
310,508.4140930175781,45.36552947656381
320,505.01397705078125,53.97551062509536
330,509.0409240722656,51.07866532861674
340,510.4062805175781,51.20077314421728
350,509.485595703125,54.37810232278184
360,512.7825927734375,51.186184498862
370,513.845947265625,55.56873805424632
380,519.651611328125,46.48913854784449
390,512.6621704101562,57.78833708654161
400,517.333740234375,54.018243222154176
410,512.736328125,59.829988320091175
420,517.3463745117188,55.42038414125318
430,513.1908569335938,63.152904853916006
440,516.253662109375,61.04071250224965
450,517.7117309570312,61.02240215742784
460,517.076171875,59.863574198661134
470,517.38818359375,62.07480654485829
480,525.74755859375,54.65081982461981
490,523.1948852539062,62.32995704841083
500,527.0459594726562,61.126014620825266
510,526.3240356445312,65.73291559650163
520,528.9620971679688,60.24455946138626
530,527.079345703125,64.79384368948358
540,526.7300415039062,66.0685899098897
550,523.82177734375,71.27963150113749
560,521.8374633789062,72.38012617106902
570,528.2083740234375,72.30190525705362
580,526.6157836914062,70.85722063227556
590,522.5363159179688,83.30726528558827
600,529.7597045898438,76.92398078673395
610,533.5458984375,75.2000258612164
620,529.6747436523438,82.91206021041964
630,530.4121704101562,86.50680621179636
640,539.5935668945312,78.96113002555855
650,541.2372436523438,78.8045008887742
660,530.6707763671875,94.92619878495961
670,539.7888793945312,87.8696078711794
680,538.9501342773438,89.32183695232067
690,540.6636962890625,86.49475119417156
700,534.6272583007812,95.72222819549356
710,541.4837646484375,89.4805672819812
720,537.6972045898438,93.5378560926899
730,536.6115112304688,99.24126791094056
740,536.9515991210938,102.51931190788842
750,545.012451171875,90.9687559919542
760,535.6022338867188,103.5480000967292
770,544.4359130859375,97.90567134487249
780,552.8875732421875,90.3869530105617
790,547.69677734375,100.74707534963808
800,552.5523681640625,101.05663423196515
810,556.7607421875,102.24467188252291
820,556.508056640625,104.6450222709062
830,554.6746215820312,111.0868109021346
840,556.29736328125,111.99277004429105
850,552.0250854492188,116.90468975712346
860,550.6114501953125,120.98080335771853
870,552.5382690429688,116.74966573576886
880,544.2164916992188,126.0161232061644
890,554.4505004882812,113.8636873532615
900,560.4954223632812,107.95701329474593
910,557.5499267578125,111.7610722621703
920,546.5787353515625,133.3790009923805
930,571.1854248046875,102.34717759395276
940,560.8995971679688,118.32366409833989
950,567.9010009765625,111.91960472741799
960,552.125732421875,133.09126072171654
970,558.2420043945312,125.3095015863194
980,565.4485473632812,115.44053625934845
990,551.0130615234375,135.20717912567378
1000,560.8887939453125,127.18396842724339
1010,553.921142578125,133.75944537753318
1020,565.0157470703125,121.86908008188651
1030,551.8792114257812,135.71230029104578
1040,559.0283203125,130.92022154158371
1050,564.8272705078125,126.83906108081037
1060,578.9982299804688,111.87336287949535
1070,560.0833129882812,142.8191460003082
1080,579.7493896484375,125.01454238407057
1090,567.1389770507812,143.23463857333786
1100,573.7363891601562,139.06046667470363
1110,575.1981201171875,139.17373941880433
1120,566.8978881835938,147.33280049162974
1130,569.8659057617188,141.27695920801528
1140,565.3966064453125,145.17595445777232
1150,577.11767578125,135.0807628850507
1160,567.6181030273438,140.1360519789515
1170,562.960205078125,149.31570411527346
1180,576.8245849609375,129.5444012553703
1190,562.9273681640625,153.92925701717604
1200,582.2095947265625,133.97219485988154
1210,581.049072265625,132.7413470539438
1220,574.633544921875,147.50938338003044
1230,580.7557373046875,134.93367173315303
1240,573.4490966796875,142.05471425498786
1250,582.2418212890625,135.29293426559025
1260,566.2570190429688,155.96907524795745
1270,578.4124755859375,143.49525590392363
1280,582.2262573242188,138.05129131106432
1290,576.300048828125,148.15874484544906
1300,578.7184448242188,146.51144291143822
1310,585.863037109375,144.5572813990469
1320,585.1484985351562,148.12153764463864
1330,592.0795288085938,144.37422329535895
1340,593.1513671875,143.71440825783498
1350,581.149169921875,166.94458970619465
1360,593.2449951171875,144.20550633397508
1370,578.4812622070312,165.04013554032133
1380,590.9110717773438,145.87527314398955
1390,584.7453002929688,157.39508493852392
1400,596.9810791015625,138.5741958091295
1410,586.4927978515625,153.33993266360181
1420,594.6370239257812,144.09800859301905
1430,593.6128540039062,146.27712328854182
1440,589.4578857421875,148.817713618156
1450,584.359375,160.0210694391933
1460,585.033935546875,163.02230249683015
1470,590.8450317382812,153.02650731095264
1480,581.5197143554688,169.84483833320473
1490,600.0111694335938,141.65318653259203
