#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,1113.0653076171875,2.1414004640194673
20,1114.6343994140625,3.1060978127113463
30,1115.783203125,5.231892530812331
40,1117.310546875,7.228722239941771
50,1119.136474609375,7.906744673946266
60,1120.560791015625,8.617161351027656
70,1121.760986328125,10.398832075695097
80,1124.2528076171875,11.28071946828649
90,1124.851318359375,13.658378403798908
100,1124.928466796875,15.288923748580391
110,1126.87158203125,15.316259527510432
120,1126.751953125,18.180937255103316
130,1128.807373046875,21.18961165800664
140,1129.955078125,22.4331488845687
150,1133.826416015625,22.28473443052634
160,1134.3563232421875,24.843781477909612
170,1137.6153564453125,25.384835523849222
180,1140.68701171875,24.869871340449578
190,1141.4390869140625,26.341301509646375
200,1140.0498046875,28.29781534569515
210,1143.2750244140625,28.14913494164141
220,1141.7996826171875,33.373842300862975
230,1143.1461181640625,36.57078265735211
240,1147.081298828125,35.946213453889555
250,1148.528564453125,38.64352533321962
260,1147.673095703125,42.845414738754705
270,1153.132568359375,40.53655885212359
280,1153.8704833984375,41.99356420580898
290,1157.2518310546875,42.30261316018821
300,1156.934326171875,43.21682772116386
310,1164.9295654296875,41.510646262143375
320,1162.0662841796875,45.958603866422976
330,1167.255126953125,45.49159253187981
340,1168.822998046875,46.95938861059399
350,1171.5712890625,47.58455569519294
360,1171.067626953125,49.36941740850705
370,1166.130126953125,55.947469962080014
380,1168.3736572265625,55.922535144347876
390,1175.9013671875,50.96474871885591
400,1173.1282958984375,57.033179545733816
410,1179.184326171875,53.733067347791284
420,1179.408447265625,54.62757886008176
430,1178.6207275390625,56.70626467798856
440,1175.910888671875,62.488708522737774
450,1176.857666015625,66.86713952428585
460,1176.12646484375,71.72165782903436
470,1181.761962890625,69.02367730826028
480,1181.3238525390625,72.32858390899112
490,1194.0054931640625,63.4710456694713
500,1192.562255859375,69.98864212058888
510,1198.185302734375,69.57902197054275
520,1195.438720703125,75.49695863401594
530,1196.6580810546875,75.03174847376845
540,1195.0257568359375,80.37327178870176
550,1197.88427734375,81.285623015912
560,1198.159423828125,85.03738966015325
570,1201.552490234375,82.22289455058666
580,1200.0172119140625,84.76374963315543
590,1206.66748046875,82.97505916860221
600,1207.2508544921875,83.04220479150725
610,1203.593505859375,86.87357548319494
620,1200.752685546875,91.43257133445633
630,1208.50146484375,89.02786304154795
640,1204.54736328125,95.64906929155389
650,1212.5987548828125,92.06227542172005
660,1221.158447265625,86.9888784514093
670,1219.053466796875,88.63973317983404
680,1213.9161376953125,93.87038343178959
690,1212.81689453125,94.21134252894159
700,1217.3623046875,96.6876883278302
710,1223.70361328125,92.56502646508723
720,1228.30126953125,91.12935003037312
730,1231.3687744140625,91.46375926548528
740,1220.42529296875,103.13121666466506
750,1215.4298095703125,109.29533553524014
760,1219.3045654296875,105.81318277064375
770,1211.287353515625,111.90664516281772
780,1226.5347900390625,99.10833323478283
790,1213.8922119140625,109.56132412865162
800,1222.095703125,106.94108573143633
810,1224.02197265625,106.1015840166048
820,1227.5263671875,109.77428199980706
830,1233.708251953125,111.42238047744263
840,1253.212646484375,98.46728648547894
850,1239.0284423828125,112.9681835792222
860,1241.127197265625,112.08554781834812
870,1224.3348388671875,129.33713895478857
880,1249.440673828125,109.68346107981104
890,1228.7647705078125,126.71782661236452
900,1237.924072265625,123.9444510637305
910,1234.76708984375,124.99411976688481
920,1231.3863525390625,125.88391025187204
930,1228.6851806640625,129.23656830323728
940,1239.4677734375,121.78253169884564
950,1231.470703125,130.52319269322444
960,1249.08056640625,114.98032113730319
970,1239.8812255859375,120.17810201892335
980,1243.2578125,123.01523505345145
990,1244.885498046875,120.28468818222139
1000,1262.143310546875,110.98043083796446
