#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10,700.1173095703125,2.1492788208690583
20,702.160400390625,3.7225592987841543
30,704.0740966796875,4.982276607008164
40,706.0291748046875,6.543479305780277
50,707.647705078125,8.337168476028815
60,709.5845336914062,9.565153236412606
70,710.4317626953125,10.851122786809874
80,711.5078125,12.88607751598664
90,713.857421875,14.95174212238349
100,716.58056640625,16.044399290326258
110,718.6070556640625,16.991326803972644
120,716.8468017578125,20.31185899128353
130,723.9647827148438,17.77430359327729
140,722.6663818359375,21.465974835319543
150,726.37109375,22.392434859165633
160,728.493896484375,24.398049608804023
170,732.505859375,24.49066375230228
180,733.3818359375,27.121883271597586
190,733.0791625976562,30.646604112844518
200,732.61767578125,32.77502146469979
210,740.6763916015625,33.45450293474137
220,742.42529296875,32.31529534467638
230,741.93212890625,36.23378113667466
240,746.277587890625,35.0248087232807
250,752.9994506835938,34.2638701829983
260,747.9188232421875,41.622777982671245
270,747.6743774414062,44.74742512997085
280,755.4613647460938,38.94457983315023
290,745.8379516601562,49.18906381715621
300,751.7833251953125,48.893280678444064
310,756.803955078125,47.35069348807579
320,761.0853881835938,47.8855875952064
330,763.5493774414062,49.52507961427727
340,767.4263305664062,48.32951167836279
350,768.2039794921875,50.04689012728408
360,773.3340454101562,48.25838213519387
370,769.2362060546875,54.87199789806361
380,766.9515380859375,57.60139143309629
390,771.465576171875,55.061687368926194
400,770.8726196289062,59.76246122004651
410,769.935302734375,61.68105122002278
420,776.7149047851562,59.3189274545235
430,783.5277709960938,54.60733507283989
440,774.8563232421875,66.12906918367098
450,784.2785034179688,62.062819784813264
460,781.8035888671875,65.71672578022084
470,785.1358642578125,65.27261675233075
480,789.2705688476562,62.9126429626241
490,780.1290893554688,70.3013575989141
500,782.6416015625,69.88233632363924
510,783.7456665039062,70.90818863887895
520,777.8908081054688,79.53322960196664
530,787.8010864257812,72.30237269627584
540,785.8189086914062,76.7591318695038
550,788.9014282226562,77.98801958232329
560,790.787841796875,76.39844873314931
570,792.7772827148438,73.2901188334263
580,795.4849853515625,74.35126728291115
590,790.3453979492188,80.77592924743772
600,790.9281005859375,82.86312434303856
610,797.4020385742188,78.42496248778593
620,780.151123046875,92.7624651020809
630,793.8485717773438,89.40374323498926
640,813.4932861328125,75.46019794774146
650,803.2711181640625,84.65051335279325
660,803.1007080078125,85.26205644415377
670,812.180908203125,78.03389100771425
680,804.678466796875,83.7330939186798
690,805.7053833007812,86.95544022117011
700,831.069580078125,69.2489402437294
710,814.34619140625,85.55058575546558
720,829.4691162109375,76.60851913529284
730,820.7098999023438,85.81290183158738
740,816.8004150390625,85.85274593532475
750,811.5785522460938,96.05961508275128
760,821.631591796875,88.8584652084198
770,806.2685546875,104.86331179560185
780,822.656982421875,92.49700722862906
790,814.1068115234375,99.83017172348572
800,806.3746948242188,106.60671998374309
810,824.1625366210938,98.87413494217662
820,823.8222045898438,99.38132661860563
830,813.1649780273438,106.77079756445941
840,816.5609130859375,104.08117978308152
850,808.3899536132812,113.30705276204307
860,814.538330078125,115.91391928260032
870,821.8301391601562,108.85291209082025
880,822.2053833007812,109.34331435094501
890,830.2429809570312,104.78000082522458
900,842.4108276367188,99.03853256545148
910,843.3158569335938,98.02242148746713
920,831.0215454101562,110.78818441553594
930,835.215087890625,110.24877488907069
940,854.552001953125,96.33477185419562
950,831.4183349609375,112.71441601966178
960,840.7374267578125,113.51461866223181
970,850.082763671875,106.50732006388509
980,850.424072265625,112.26317208574461
990,832.3984985351562,127.75066213202163
1000,863.0289306640625,111.37631073352367
